"ID","PMNNO","ACCNO","UID","EXP","GenericName","FLAG","ACTIVITY"
1,"P000005",232689,,,"Polymeric MDI based polyurethane (PROVISIONAL)","PMN; S","ACTIVE"
2,"P000006",278489,,,"Polymeric MDI based polyurethane (PROVISIONAL)","PMN; S","ACTIVE"
3,"P000008",164331,,,"Emulsion polymer (PROVISIONAL)","PMN; XU","ACTIVE"
4,"P000009",257944,,,"Copolymer of acrylic esters, acrylic acid and dibromostyrene (PROVISIONAL)","PMN; XU","INACTIVE"
5,"P000012",238676,,,"Reaction product of cashew nutshell liquid, phenols, formaldehyde, and substituted amines (PROVISIONAL)","PMN","INACTIVE"
6,"P000015",245502,,,"Polyoxyalkylene polyester urethane block polymer, salt with phosphorylated polyester (PROVISIONAL)","PMN; XU","INACTIVE"
7,"P000024",260470,,,"Aluminum alkylamide (PROVISIONAL)","PMN","INACTIVE"
8,"P000028",173354,,,"Acrylic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
9,"P000030",235279,,,"Modified polyacrylate (PROVISIONAL)","PMN; XU","ACTIVE"
10,"P000035",250396,,,"Isocyanate-terminated polyurethane prepolymer (PROVISIONAL)","PMN; XU","INACTIVE"
11,"P000038",245411,,,"Urethane acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
12,"P000042",242490,,,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","PMN","ACTIVE"
13,"P000043",276790,,,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","PMN","ACTIVE"
14,"P000044",256292,,,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","PMN","ACTIVE"
15,"P000046",230003,,,"Aromatic substituted diurea (PROVISIONAL)","PMN","ACTIVE"
16,"P000055",177685,,,"Polyisobutylene oxime (PROVISIONAL)","PMN; XU","INACTIVE"
17,"P000056",163305,,,"Polyisobutylene oxime (PROVISIONAL)","PMN; XU","INACTIVE"
18,"P000057",250681,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","ACTIVE"
19,"P000058",266796,,,"Polyester acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
20,"P000064",230127,,,"Epoxy acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
21,"P000065",262396,,,"Amines, N-tallow, alkylpoly-, hydrochlorides (PROVISIONAL)","PMN","INACTIVE"
22,"P000069",254398,,,"Nitrated, sulfonated aromatic acid chloride (PROVISIONAL)","PMN","INACTIVE"
23,"P000072",141969,,,"Macrocyclic cobalt complex (PROVISIONAL)","PMN","INACTIVE"
24,"P000080",169121,,,"Polymer of substituted aromatic triamine and phosphorous compound (PROVISIONAL)","PMN","ACTIVE"
25,"P000081",168640,,,"Acrylic copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
26,"P000082",149327,,,"Silicone modified waterborne polyurethane dispersion (PROVISIONAL)","PMN; XU","INACTIVE"
27,"P000083",139254,,,"Trimethylolpropane ester polymer (PROVISIONAL)","PMN; XU","INACTIVE"
28,"P000084",138728,,,"Dimethyl ester of 2-2 oxo-1-(1,4-dihydro-2,3-dioxo-6-methoxyquinoxaline-7-yl carbamoyl-proplyazo)terephthalic acid (PROVISIONAL)","PMN","ACTIVE"
29,"P000089",176900,,,"Alkyl methacrylate, alkylaminoalkylmethacrylamide copolymer (PROVISIONAL)","PMN; XU","ACTIVE"
30,"P000090",261984,,,"Alkyl amine, polymer with branched aliphatic amine, diacrylate and bisphenol a - diglycidyl ether (PROVISIONAL)","PMN; XU","ACTIVE"
31,"P000094",252187,,,"Salt of a substituted sulfonated aryl azo compound","PMN; S","ACTIVE"
32,"P000095",238041,,,"Formaldehyde, polymer with an aliphatic polyamine (PROVISIONAL)","PMN; XU","ACTIVE"
33,"P000096",255460,,,"Vinyl tripolymer (PROVISIONAL)","PMN; XU","INACTIVE"
34,"P000103",244010,,,"1,4-Butanediol, polymer with 2,4-diisocyanato-1-methylbenzene, 1,2-ethanediamine, polyol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane (PROVISIONAL)","PMN; XU","ACTIVE"
35,"P000105",276427,"UID-2023-00036","20301027","Silane terminated polymer (PROVISIONAL)","PMN; XU","ACTIVE"
36,"P000107",153914,,,"Alkanedioic acid, polymer alkyl methacrylate, caprolactone homopolymer, isocyanate, polyester polyol, alkane diol, hydroxy alkyl methacrylate, alkenedioic acid and alkanediol homopolymer (PROVISIONAL)","PMN; XU","ACTIVE"
37,"P000120",156888,,,"Hydroxy functional acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
38,"P000178",265997,,,"Acrylic copolymer (PROVISIONAL)","PMN; XU","INACTIVE"
39,"P000189",255960,,,"Modified polyurethane (PROVISIONAL)","PMN; XU","INACTIVE"
40,"P000190",150562,,,"Amine functional acrylic polymer salted with an organic acid (PROVISIONAL)","PMN; XU","ACTIVE"
41,"P000190",215942,,,"Amine functional acrylic polymer salted with an organic acid (PROVISIONAL)","PMN; XU","ACTIVE"
42,"P000194",254810,,,"Amine functional acrylic polymer (PROVISIONAL)","PMN; XU","ACTIVE"
43,"P000235",170015,,,"Urethane prepolymer (PROVISIONAL)","PMN; XU","ACTIVE"
44,"P000262",262272,,,"Imidazole functional polyalkyl acrylate (PROVISIONAL)","PMN; XU","INACTIVE"
45,"P000266",250807,,,"Acrylic acid, polymer with partial salt of acrylate ester (PROVISIONAL)","PMN; XU","INACTIVE"
46,"P000267",241704,,,"Acrylic acid, polymer with partial salt of acrylate ester, reactionproduct with substituted polyglycol (PROVISIONAL)","PMN; XU","INACTIVE"
47,"P000268",270269,,,"Acetyl heterocyclic compound (PROVISIONAL)","PMN","INACTIVE"
48,"P000274",157494,,,"Amine-salted polyester resin (PROVISIONAL)","PMN; XU","ACTIVE"
49,"P000275",164080,,,"Amine-salted polyester resin (PROVISIONAL)","PMN; XU","ACTIVE"
50,"P000310",233193,,,"Acrylic polyester resin (PROVISIONAL)","PMN; XU","INACTIVE"
51,"P000311",259019,,,"Alkyl phenol, potassium salt (PROVISIONAL)","PMN","INACTIVE"
52,"P000319",258969,,,"Benzenedicarboxylic acid, alkyl alkylaminocarbonyloxyethyl ester (PROVISIONAL)","PMN","INACTIVE"
