title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
"Estrogenic Activity of Tetrazole Derivatives Bearing Bisphenol Structures: Computational Studies, Synthesis, and In Vitro Assessment",10.1021/acs.jcim.1c01077,2022,bisphenol A,"The abstract explicitly presents tetrazole derivatives bearing bisphenol structures (TbB) as privileged prospective substitutes for bisphenol A (BPA) with much weaker binding to estrogen receptor alpha, indicating lower endocrine disruption potential. This suggests a safety advantage over BPA. However, it also states that more research on TbB ligand toxicity is needed to confirm safety, but the current evidence supports TbB as a safer alternative.",tetrazole derivatives bearing bisphenol structures (TbB),endocrine disruption
High Glass Transition PEcBT and PEPecBT Copolyesters Synthesized by Direct Esterification Route,10.1002/app.56781,2025,bisphenol A,"The abstract explicitly states that CBDO-based copolyesters like PCcBT have been commercialized to replace bisphenol A polycarbonate in food contact applications due to their high transparency, heat-resistance, and safety, indicating a safer alternative. The study further develops PEcBT copolyesters with improved synthesis robustness and thermal stability, continuing the theme of safer CBDO-based materials as alternatives to bisphenol A polycarbonate.","1,4-cyclohexanedimethanol (CBDO)-based copolyesters",
"Detection of bisphenol A, cumylphenol and parabens in surface waters of Greater Poland Voivodeship.",10.1016/j.jenvman.2017.08.034,2017,bisphenol A,"The abstract compares methylparaben (MP) to bisphenol A (BPA) and states that MP's endocrine properties are much lower than those of BPA, posing a lower environmental impact potential. This indicates that MP can be considered a safer alternative to BPA in terms of endocrine disruption and environmental impact.",methylparaben,endocrine disruption
Challenges and Opportunities in the Catalytic Synthesis of Diphenolic Acid and Evaluation of Its Application Potential,10.3390/molecules29010126,2023,bisphenol A,"The abstract explicitly states that diphenolic acid is a valuable candidate for the replacement of bisphenol A, which is questioned for its toxicological issues, implying a safety advantage. This indicates diphenolic acid as a safer alternative to bisphenol A.",diphenolic acid,toxicological issues
Low shrinkage bulk-filled dental resin composites with non-estrogenic dimethacrylate.,10.1039/d3bm00154g,2023,bisphenol A,"The abstract explicitly compares the nonestrogenic di(meth)acrylate Bis-EFMA to commercial bisphenol A-based materials, highlighting its nonestrogenic activity and excellent biocompatibility, which implies a safety advantage. It also states that Bis-EFMA has comparable or superior properties and is considered a promising alternative to Bis-GMA, a bisphenol A derivative. Therefore, Bis-EFMA is presented as a safer alternative to bisphenol A-based resins.",Bis-EFMA,
"182 Bisphenol A, but not bisphenol S, affects key microRNAs during bovine oocyte maturation",10.1071/rdv32n2ab182,2020,bisphenol A,"The abstract compares bisphenol A (BPA) and bisphenol S (BPS) in terms of their effects on microRNA expression during bovine oocyte maturation. It reports that BPA significantly alters microRNA levels linked to negative effects, while BPS shows no changes in microRNA expression, implying a different and potentially less harmful mechanism. This suggests BPS may be a safer alternative to BPA.",bisphenol S,"endocrine disruption, negative effect on oocyte quality, miRNA dysregulation, epigenetic interference, potential contribution to decreased fertility"
Thermal and Fire Behavior of a Bio-Based Epoxy/Silica Hybrid Cured with Methyl Nadic Anhydride,10.3390/polym12081661,2020,bisphenol A,"The abstract explicitly states that sugar-derived diepoxy monomers and anhydrides represent a sustainable greener alternative to bisphenol A (BPA) and aromatic amines, which are toxic. It highlights the BOMF/MNA system as having improved fire safety characteristics, such as decreased heat release rate and smoke parameters, indicating safety advantages over BPA-based systems.",sugar-derived diepoxy monomers; anhydrides,harmful impact on human health
Characterizing properties of non-estrogenic substituted bisphenol analogs using high throughput microscopy and image analysis,10.1371/journal.pone.0180141,2017,bisphenol A,"The abstract explicitly compares several substituted bisphenol derivatives and hydroquinone to bisphenol A (BPA) and finds that compounds such as Bisguaiacol F, TM-BFP-ER, and TM-BPF-DGE exhibit very limited estrogen-like or androgen-like activity, indicating lower endocrine-disrupting potential. It further suggests these compounds could be suitable commercially viable alternatives to BPA, implying a safety advantage.",Bisguaiacol F; TM-BFP-ER; TM-BPF-DGE,endocrine disruption
Biobased Vitrimeric Epoxy Networks,10.1002/mame.202300371,2023,bisphenol A,"The abstract explicitly mentions that biomass resources such as lignin, cellulose, or vegetable oils can be exploited as biobased building blocks for epoxy thermosets as an alternative to bisphenol A-based ones. It implies these biobased epoxy networks offer additional benefits like recyclability and self-healing, which can be interpreted as safety or sustainability advantages over bisphenol A-based materials.",lignin; cellulose; vegetable oils,
Quality of fresh and cryopreserved bovine sperm is reduced by BPA and BPF exposure,10.1530/RAF-23-0018,2023,bisphenol A,"The abstract compares the effects of BPA, BPS, and BPF on bovine sperm quality and finds that BPA is the most harmful, BPF is toxic under certain conditions, and BPS seems to be the least detrimental with no significant effects on measured parameters. This indicates that BPS is presented as a safer alternative to BPA.",bisphenol S (BPS),"endocrine disruption, reduced sperm motility, reduced sperm capacitation, reduced sperm viability, reduced mitochondrial membrane potential in sperm, toxicity to sperm affecting male fertility"
