title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
Borax-Based Gel Electrophoresis: A Novel Approach for RNA Integrity Analysis,10.1101/2025.02.11.637722,2025,formaldehyde,"The abstract explicitly states that the borax-based gel electrophoresis method offers enhanced safety compared to traditional formaldehyde-based methods, presenting borax as a safer alternative for RNA integrity analysis.",borax,
Towards the Removal of HMTA Molecules in the Chemical Bath Deposition of ZnO Nanowires,10.3390/nano15201574,2025,formaldehyde,"The abstract discusses replacing hexamethylenetetramine (HMTA), which forms formaldehyde, with ammonia in the chemical bath deposition of ZnO nanowires. It states that ammonia fully substitutes HMTA in the high-pH region, enabling synthesis compatible with green chemistry, implying a safer alternative to formaldehyde-forming HMTA.",ammonia,"formaldehyde as a harmful substance raising health, environment, and regulation issues"
What do we need to know about hair straightening?,10.18203/issn.2455-4529.intjresdermatol20213356,2021,formaldehyde,"The abstract mentions the evolution from formaldehyde-based permanent relaxers to formaldehyde-free hair strengthening procedures like hair Botox, which reduces chemical damage and maintains natural hair waves. This indicates that hair Botox is presented as a safer alternative to formaldehyde-based methods.",hair Botox,
Kualitas Fisis Kulit Ikan Lencam (Lethrinus lentjan) dengan Penyamakan Menggunakan Glutaraldehyde,10.36706/fishtech.v12i1.17087,2023,formaldehyde,The abstract explicitly states that glutaraldehyde is considered a safer and more environmentally friendly alternative to formaldehyde as a tanning agent. It directly compares glutaraldehyde to formaldehyde and highlights its safety advantage.,glutaraldehyde,
Glyoxal as an alternative fixative to formaldehyde in immunostaining and super‐resolution microscopy,10.15252/embj.201695709,2017,formaldehyde,"The abstract explicitly states that glyoxal is less toxic than paraformaldehyde (PFA, a polymer of formaldehyde) and can successfully replace it as a fixative. It highlights glyoxal's lower toxicity and improved performance, indicating safety advantages over formaldehyde-based fixatives.",glyoxal,
"No-Aldehydes Glucose/Sucrose-Triacetin-Diamine Wood Adhesives for
Particleboard",10.32604/jrm.2020.010882,2020,formaldehyde,"The abstract presents a wood adhesive system that contains no aldehyde and results in extremely low formaldehyde emission, indicating a safety advantage over formaldehyde-based adhesives. This glucose/sucrose-triacetin-diamine adhesive is explicitly described as an alternative to formaldehyde-containing adhesives with improved safety in terms of emissions.",glucose/sucrose-triacetin-diamine adhesive,
Energy-efficient and formaldehyde-free biomass-based boards derived from Pleurotus Ostreatus substrate waste: A novel sustainable utilization strategy,10.1016/j.biteb.2025.102458,2025,formaldehyde,"The abstract explicitly states the preparation of formaldehyde-free biomass-based boards as an alternative to conventional formaldehyde-containing boards, highlighting the use of citric acid and epoxidized soybean oil for pretreatment. It emphasizes the environmental and energy-saving benefits of this formaldehyde-free approach, indicating a safer alternative to formaldehyde.",citric acid; epoxidized soybean oil,
Glucose-lignin-based phenolic resin: an environmentally friendly low-formaldehyde wood adhesive,10.1108/prt-12-2022-0150,2023,formaldehyde,"The abstract explicitly states that the glucose-lignin-based phenolic resin (GLPF) is low-formaldehyde and environmentally friendly, with lower free formaldehyde and formaldehyde emission compared to conventional phenolic resin. It highlights safety benefits such as being beneficial to human health and having lower free phenol content, indicating a safer alternative to formaldehyde-based adhesives.",glucose-lignin-based phenolic resin,
Fire Resistant Adhesive from Chitosan,10.1021/acs.biomac.4c01467,2025,formaldehyde,"The abstract explicitly states that a chitosan-acid mixture is used as a replacement for formaldehyde-containing resins in engineered wood and describes it as a nontoxic adhesive, implying a safety advantage over formaldehyde. It highlights the low toxicity and fire protection benefits of the chitosan-based adhesive, supporting it as a safer alternative to formaldehyde-containing adhesives.",chitosan,
Performance evaluation of guar gum and conventional binders based fire‐extinguishing aerosol‐forming composites,10.1002/fam.3144,2023,formaldehyde,"The abstract compares guar gum, a natural binder, against phenol–formaldehyde resin and other conventional binders in pyrotechnic firefighting mixtures. It states that guar gum is a preferred binder based on safety and performance characteristics, implying it has safety advantages over phenol–formaldehyde resin. This indicates guar gum as a safer alternative to formaldehyde-based binders.",guar gum,
Workable Cadaveric Preservation for Developing Skills Training Models: A Review,10.20944/preprints202006.0097.v1,2020,formaldehyde,"The abstract explicitly mentions the health hazards related to formaldehyde and lists several alternative preservative methods and solutions such as Thiel’s solution, phenoxyethanol preservation, and others as alternatives to formaldehyde. The aim stated is to reduce formaldehyde usage, implying these alternatives are considered safer.",Thiel’s solution; phenoxyethanol,health hazards related to formaldehyde preservation of cadavers
Acidic deep eutectic solvent as a novel catalyst for urea–formaldehyde resin curing,10.1080/17480272.2024.2336224,2024,formaldehyde,"The abstract presents acidic deep eutectic solvent (DES) as a novel catalyst for urea–formaldehyde resin curing that results in lower formaldehyde emission compared to conventional catalysts. It explicitly states that DES is non-toxic and recyclable, suggesting safety advantages over traditional acid catalysts used in UF resins. Therefore, DES is indicated as a safer alternative in the context of formaldehyde resin curing.",acidic deep eutectic solvent (DES),
Formaldehyde-Free Resins for the Wood-Based Panel Industry: Alternatives to Formaldehyde and Novel Hardeners,10.3390/molecules27154862,2022,formaldehyde,"The abstract explicitly discusses substitutes for formaldehyde in resin production that eliminate free formaldehyde emissions, addressing the carcinogenic concerns of formaldehyde. It names specific alternatives such as glyoxal, glutaraldehyde, furfural, 5-hydroxymethylfurfural, and dimethoxyethanal, indicating these as formaldehyde-free systems. This clearly presents these substances as safer alternatives to formaldehyde.",glyoxal; glutaraldehyde; furfural; 5-hydroxymethylfurfural; dimethoxyethanal,carcinogenic properties
Thermal Condensation of Dehydrogenation Polymer (DHP) with Xylose,10.3390/polym16223139,2024,formaldehyde,"The abstract identifies DHP as a potential substitute for lignin as a formaldehyde-free adhesive, highlighting that conventional adhesives contain formaldehyde which harms health. It explicitly states DHP has excellent water resistance and is formaldehyde-free, implying a safety advantage over formaldehyde-containing adhesives. Therefore, DHP is presented as a safer alternative to formaldehyde-based adhesives.",dehydrogenation polymer (DHP),"formaldehyde release, potentially lower indoor air quality, damage human health"
Influence of the treatment of hatching eggs with Pectin drug on the embryonic and postembryonic development of young poultry,10.33920/sel-03-2202-05,2022,formaldehyde,"The abstract explicitly states that formaldehyde is harmful to human health and the environment and describes Pectin as an environmentally friendly drug without harmful effects on egg incubation qualities. Pectin was tested as a disinfectant alternative to formaldehyde and showed positive effects on hatchability, livability, and live weight, implying it is a safer alternative to formaldehyde.",Pectin,"harmful to human health, harmful to the environment"
Formaldehyde Use and Alternative Biobased Binders for Particleboard Formulation: A Review,10.1155/2019/5256897,2019,formaldehyde,"The abstract explicitly states that biobased binders, such as starch, provide an alternative for eliminating the use of formaldehyde-based resin, which is carcinogenic. This implies a safer alternative since it aims to eliminate formaldehyde use and its associated health hazards. However, it also notes challenges with physical and mechanical properties of these alternatives.",starch,carcinogenicity
Dyeing of soybean protein/flax blended yarns with reactive dyes and subsequent dye-fixation,10.1038/s41598-022-05581-5,2022,formaldehyde,"The abstract explicitly mentions the use of an ecofriendly formaldehyde-free fixing agent (DM-2158) as part of the dye-fixation process, indicating it as an alternative to formaldehyde. The term 'formaldehyde-free' and 'ecofriendly' imply a safety advantage over formaldehyde, thus presenting a safer alternative.",DM-2158,
Recycling of Waste Bamboo Biomass and Papermaking Waste Liquid to Synthesize Sodium Lignosulfonate/Chitosan Glue-Free Biocomposite,10.3390/molecules28166058,2023,formaldehyde,"The abstract explicitly states that the sodium lignosulfonate/chitosan (L/C) bamboo biocomposite has low formaldehyde emissions and is a glue-free panel material, implying a safer alternative to traditional formaldehyde-based adhesives. It highlights reduced environmental pollution and suitability for wood-based panels, indicating a safety advantage over formaldehyde-containing products.",sodium lignosulfonate; chitosan,
Preparation and Performance of Porous Carbon Nanocomposite from Renewable Phenolic Resin and Halloysite Nanotube,10.3390/nano10091703,2020,formaldehyde,"The abstract states that a formaldehyde-free phenolic resin using monosaccharide-based furfural was synthesized as the carbon precursor, explicitly indicating a replacement of formaldehyde. The use of a formaldehyde-free resin implies a safer alternative, as it avoids formaldehyde altogether. No other safety claims are made, but the clear mention of a formaldehyde-free resin supports the conclusion.",furfural,
A Potential Replacement to Phenol–Formaldehyde-Based Adhesives: A Study of Plywood Panels Manufactured with Bio-Based Wood Protein and Nanolignin Adhesives,10.3390/f15081345,2024,formaldehyde,"The abstract explicitly states that plywood samples made with bio-based wood adhesives (BBWAs) showed an 88% decrease in formaldehyde emissions compared to phenol–formaldehyde (PF) adhesives, indicating a clear safety advantage. It concludes that BBWAs might be a considerable replacement for PF adhesives, implying a safer alternative due to lower formaldehyde emissions.",bio-based wood adhesives (BBWAs),
Investigating Wrinkle Resistance of Cotton and Cotton Blended Fabrics in Relation to a Non-Formaldehyde Durable Press Finish,10.33552/jtsft.2023.10.000734,2023,formaldehyde,"The abstract explicitly states that the durable press finish used is formaldehyde-free and describes it as a prime alternative to wrinkle resistance finishes containing formaldehyde, indicating a safety advantage by avoiding harmful chemicals such as formaldehyde.",formaldehyde-free durable press finish,contains harmful chemicals such as formaldehyde
Moisture influence on solid wood bonded with modified starch,10.5604/01.3001.0016.0501,2022,formaldehyde,"The abstract explicitly mentions that amine resins, which are common binders, are being partially or fully replaced by more natural, non-formaldehyde binders made from renewable plant-based materials. It highlights modified starch as a very good organic glue that can potentially replace some chemical products, implying a safer alternative to formaldehyde-based binders.",modified starch; amine resins,
Eco-Friendly Adhesives Based on the Oligomeric Condensed Tannins-Rich Extract from Alder Bark for Particleboard and Plywood Production,10.3390/ma15113894,2022,formaldehyde,"The abstract explicitly compares formaldehyde emissions between the conventional phenol-formaldehyde resin and the CTs-phenol-formaldehyde (CTs-PF) resin, stating that the latter has formaldehyde emissions twice lower. It also presents CTs-polyethyleneimine (PEI) adhesive systems and CTs–PEI combined with ultra-low emitting formaldehyde resin (ULEFR) as alternatives with adhesive properties close to formaldehyde-based resins, implying improved safety due to lower emissions. Therefore, condensed tannins-rich extracts from alder bark combined with PEI or ULEFR are presented as safer alternatives to formaldehyde-based adhesives.",condensed tannins-rich extracts from alder bark combined with polyethyleneimine (PEI); condensed tannins-rich extracts from alder bark combined with ultra-low emitting formaldehyde resin (ULEFR),toxic formaldehyde emissions
IMPROVEMENT OF TECHNOLOGICAL STAGES IN BEEKEEPING WITH DISINFECTION MEASURES,10.32900/2312-8402-2024-131-128-138,2024,formaldehyde,"The abstract compares several disinfectants to a 4% formaldehyde solution (Desvax) and highlights that 1.5% solutions of polyhexamethyleneguanidine hydrochloride (PHMG-HC), sodium hypochlorite, and Crystal-700 have the best disinfecting properties and are described as environmentally safe, non-toxic, non-volatile, and non-aggressive. This indicates these substances have safety advantages over formaldehyde and can be recommended as alternatives for disinfection in beekeeping.",polyhexamethyleneguanidine hydrochloride (PHMG-HC); sodium hypochlorite; Crystal-700,
Preliminary Study on the Physical and Mechanical Properties of Poplar Wood Modified by Waterborne Glucose Silicone Resin,10.20944/preprints202012.0251.v1,2020,formaldehyde,"The abstract explicitly states that the waterborne glucose silicone resin is a green, non-formaldehyde, eco-friendly wood modifier, indicating it is a safer alternative to formaldehyde-based modifiers. It highlights the resin's environmental friendliness and non-formaldehyde nature, which implies safety advantages over formaldehyde.",waterborne glucose silicone resin,
