title,doi,year,target,reasoning,alternatives,CHEMICAL HARM
A New Cryo-FIB-TEM Approach for Damage-free Characterization of Garnet Electrolytes in Solid-state Batteries,10.1017/S1431927620022783,2020,substitutes,"The abstract explicitly states that solid-state batteries (SSBs) are an alternative to current Li-ion batteries (LIBs) and highlights the use of solid-state electrolytes to substitute organic liquid electrolytes, making the electrochemical operation safe and stable. This indicates a safer alternative to the conventional liquid electrolytes used in LIBs.",solid-state electrolytes,
"Acceptability and Marketability of Malunggay, Ampalaya and Okra Seeds Powder as A Coffee Substitute",10.54476/4458185,2022,substitutes,"The abstract explicitly states that the malunggay, ampalaya, and okra seeds powder is a coffee substitute with less caffeine and aims to be a healthier and cheaper alternative to commercial coffee. This indicates a safety advantage related to lower caffeine content compared to conventional coffee, which can be reasonably interpreted as a safer alternative to the typical coffee substitute. No other substitutes are mentioned, but the comparison to commercial coffee is clear.",malunggay seeds powder; ampalaya seeds powder; okra seeds powder,
Mesenchymal Stem Cells Enhance Pulmonary Antimicrobial Immunity and Prevent Following Bacterial Infection,10.1155/2020/3169469,2020,substitutes,"The abstract compares mesenchymal stem cells (MSCs) to the traditional immunosuppressant cyclophosphamide (CTX), highlighting that MSCs enhance antimicrobial immunity and bacterial clearance while CTX suppresses immune cell proliferation and phagocytic activity. It explicitly suggests MSCs as a better choice for patients at high risk of infection, indicating a safety advantage in terms of preserving immune defense compared to CTX, a substitute immunosuppressant.",mesenchymal stem cells (MSCs),
"Cigarette Smoking, nicotine and Parkinson’s disease: Controversies in clinical trials data and medical practice.",10.56936/18290825-2022.16.4-23,2022,substitutes,"The abstract suggests nicotine from sources other than cigarette smoking, such as less harmful smoking advanced devices and diet, could be a promising therapeutic substance for Parkinson's disease. It explicitly mentions these as less harmful alternatives to cigarette smoking, implying a safety advantage over traditional smoking substitutes. Therefore, it presents a safer alternative to conventional cigarette smoking substitutes.",nicotine from less harmful smoking advanced devices; nicotine from diet,
"New Benzimidazole-1,2,4-Triazole Hybrid Compounds: Synthesis, Anticandidal Activity and Cytotoxicity Evaluation",10.3390/molecules22040507,2017,substitutes,"The abstract compares the antifungal activity of compound 5w to reference drugs ketoconazole and fluconazole, stating it has comparable activity and lower cytotoxicity. This indicates that compound 5w may be a safer alternative to these conventional antifungal agents (substitutes).",compound 5w,"cytotoxicity, membrane damaging effect"
Patients undergoing double J substitution with a pigtail suture stent report a significant decrease of stent-related symptoms. Results from a prospective multicenter longitudinal trial,10.1007/s00345-024-04879-5,2024,substitutes,"The abstract compares pigtail suture stent (PSS) to double J (DJ) stents and reports significantly decreased stent-related symptoms and pain with PSS. This indicates that PSS is a safer alternative to DJ stents in terms of patient comfort and symptom reduction, which can be reasonably interpreted as a safety advantage over the substitute (DJ stent).",pigtail suture stent (PSS),
Periodontal Management to Improve Oral Health-related Quality of Life in an Adolescent Girl with Phenytoin-induced Gingival Enlargement: A Case Report,10.5005/jp-journals-10005-3133,2025,substitutes,"The abstract explicitly states that phenytoin was replaced by levetiracetam and oxycarbamazepine, and this drug substitution along with nonsurgical periodontal therapy led to substantial reduction in phenytoin-induced gingival enlargement and improved oral health-related quality of life. This indicates that levetiracetam and oxycarbamazepine are presented as safer alternatives to phenytoin in this context.",levetiracetam; oxcarbazepine,"phenytoin-induced gingival enlargement (PGE), impairment of oral hygiene, impairment of mastication, impairment of speech, impairment of esthetics, psychological discomfort, psychological disability, social disability"
Amlodipine increases risk of primary open-angle glaucoma,10.1186/s40885-024-00290-9,2024,substitutes,"The abstract explicitly states that diuretics and β-blockers are not associated with POAG or increased IOP and could be substituted for amlodipine in hypertensive patients at risk for POAG, indicating these as safer alternatives to amlodipine.",diuretics; β-blockers,increased risk of primary open-angle glaucoma (POAG)
"Multi-Objective Optimization of Counterweights: A Substitute for the
 Balance Shaft or Mass Unbalancing in Three-Cylinder Engines",10.4271/03-11-05-0038,2018,substitutes,"The abstract explicitly compares optimized counterweights to balance shafts and mass unbalancing methods, highlighting that the balance shaft has undesirable characteristics such as cost, weight, friction, and noise, and that mass unbalancing is dynamically inappropriate. It states that optimized counterweights reduce vibrations significantly more than these substitutes and implies better performance and fewer drawbacks, indicating a safer alternative.",optimized counterweights,
Allenamides as a Powerful Tool to Incorporate Diversity: Thia-Michael Lipidation of Semisynthetic Peptides and Access to β-Ketoamides.,10.1002/anie.202407764,2024,substitutes,"The abstract reports the synthesis of antimicrobial lipopeptides with substantially attenuated nephrotoxicity compared to presumably conventional compounds, indicating a safety advantage. It highlights the use of allenamide-mediated thia-Michael addition to create vinyl sulfide-linked lipopeptide derivatives with potent activity and reduced toxicity, which can be reasonably interpreted as a safer alternative to conventional acylation or existing lipopeptide modifications.",vinyl sulfide-linked lipopeptide derivatives,
