compound,paper_count
"1,2-dichloroethane",7
"1,3-Butadiene (BD)",1
"1,3-butadiene",18
Acetonitrile,19
acrylonitrile,10
allyl alcohol,6
benzene,12
Bis(2-ethylhexyl)phthalate (DEHP),4
bisphenol A,59
butyl acrylate,8
chlorpyrifos,174
cumene,1
cypermethrin,188
decabromodiphenyl ether,10
Dichlorodifluoromethane (R-12),0
dicofol,10
Dimethylformamide (DMF),95
ethylbenzene,6
formaldehyde,11
Hexabromocyclododecane (HBCD),2
isoprocarb,1
lithium (perfluorooctane)sulfonate,0
Methylene Chloride,1
Nonylphenol Ethoxylates (NPEs),4
octabromodiphenyl ethers,0
oxirane,15
perfluorohexanesulfonic acid,1
perfluorooctanesulfonic acid,8
perfluorooctanesulfonyl fluoride,0
perfluorooctanoic acid,46
"Phthalate (PAEs), e.g., DINP",0
tert-butyl methyl ether,25
Tetrabromobisphenol A (TBBPA),6
tetrabromodiphenyl ether,2
Tetrachloroethylene,4
vinyl acetate,14
vinyl chloride,36
